Rank,latitude,longitude,heat_score,vulnerability_score,priority_score,est_temp_drop_C,GEOID
58,35.079135163793346,-106.5579919910803,0.8216117420421396,0.6635521982991147,0.7267760157963247,3.3,35001000603
59,35.0560737476612,-106.7008964251679,0.8188274347874597,0.6643148407825995,0.7261198783845435,3.3,35001004401
60,35.09436141065392,-106.72551069091537,0.8863883259237636,0.6185618479940271,0.7256924391659217,3.5,35001004760
61,35.054085265544984,-106.7828692187366,0.8682046145381945,0.6305458996286374,0.7256093855924602,3.5,35001004736
62,35.00700375311823,-106.72172275445142,0.8955336550858537,0.6120854704282183,0.7254647442912725,3.6,35001004715
63,35.062453201475485,-106.5740060596195,0.8056542528589783,0.6718037787363682,0.7253439683854122,3.2,35001000904
64,35.05700912095246,-106.57706222326728,0.8044858637324132,0.6718037787363682,0.7248766127347861,3.2,35001000904
65,35.0584929396969,-106.62106010940423,0.863236295685922,0.6324840111043758,0.7247849249369942,3.5,35001001201
66,35.05671462946596,-106.57046512200884,0.8028356888210118,0.6718037787363682,0.7242165427702256,3.2,35001000904
67,35.11497846303883,-106.61957517567821,0.8521293322240961,0.6375825708860063,0.7234012754212422,3.4,35001003400
68,35.11178000628867,-106.6395480263441,0.8899494283048399,0.6116274490486252,0.7229562407511111,3.6,35001002900
69,35.05782222140855,-106.66987605815281,0.7912302197396563,0.6768491858321466,0.7226015993951505,3.2,35001004300
70,35.07285541267265,-106.64259621415776,0.8592043051113012,0.6313690962788793,0.7225031798118481,3.4,35001001500
71,35.071542368548975,-106.619790451986,0.8574111365106547,0.6324840111043758,0.7224548612668873,3.4,35001001201
72,35.12642885282648,-106.49554834586917,0.818664505104759,0.6582773744850111,0.7224322267329103,3.3,35001000107
73,35.063529003121005,-106.66812080868846,0.7904801730181841,0.6768491858321466,0.7223015807065616,3.2,35001004300
74,35.13868950319296,-106.56941262257226,0.805803873679853,0.6663181723793936,0.7221124528995774,3.2,35001003707
75,35.12548507718622,-106.64854773130577,0.8176437404320105,0.6583034522117941,0.7220395674998807,3.3,35001003202
76,35.022768356126775,-106.7506473798018,0.8865112413038134,0.6120854704282183,0.7218557787784563,3.5,35001004715
77,35.080626379995955,-106.56118914450214,0.811120345730569,0.6622499864263335,0.7217981301480276,3.2,35001000605
78,35.125970440114116,-106.60537520418589,0.8458813540340173,0.6375825708860063,0.7209020841452107,3.4,35001003400
79,35.07715102840295,-106.67625438669437,0.7897875379705637,0.6746984054112294,0.7207340584349631,3.2,35001002302
80,35.059278850149404,-106.67462264839583,0.7859463225967351,0.6768491858321466,0.720488040537982,3.1,35001004300
81,35.14462731091051,-106.60647003834869,0.8374293861962078,0.6405556144616426,0.7193051231554687,3.3,35001003745
82,35.060362449984204,-106.75656275232177,0.9406585200079055,0.570928323467092,0.7188204020834175,3.8,35001004712
83,35.06143720059133,-106.75542145526126,0.9388546540386042,0.570928323467092,0.7180988556956969,3.8,35001004712
84,35.08732863451453,-106.65428899186183,0.7951624271602735,0.6661933242048759,0.717780965387035,3.2,35001002100
85,35.146281223293606,-106.6120146113777,0.8328520954733544,0.6405556144616426,0.7174742068663273,3.3,35001003745
86,35.15225443723042,-106.60610919930801,0.8320717106594311,0.6405556144616426,0.717162052940758,3.3,35001003745
87,35.12647442242115,-106.66214074462485,0.8050949901094787,0.6583034522117941,0.717020067370868,3.2,35001003202
88,35.20357541315889,-106.60920957027567,0.8159892625254228,0.6504810590476053,0.7166843404387323,3.3,35001003600
89,35.063155514032914,-106.66129229638197,0.7740286213725155,0.6768491858321466,0.7157209600482941,3.1,35001004300
90,35.148034492759066,-106.61208177086979,0.8284077386162021,0.6405556144616426,0.7156964641234664,3.3,35001003745
91,35.037355035696024,-106.71514202121197,0.9202470774291507,0.5780162774944222,0.7149085974683136,3.7,35001004735
92,35.05885440490117,-106.6951988573686,0.7892544725354995,0.6643148407825995,0.7142906934837595,3.2,35001004401
93,35.20729256856045,-106.65737675841838,0.9069439329127065,0.5853066626623207,0.713961570762475,3.6,35001004716
94,35.16464771459408,-106.58370201107925,0.8646162849785022,0.6133985973698572,0.7138856724133151,3.5,35001003723
95,35.06355711120553,-106.56898408710502,0.776993549297916,0.6718037787363682,0.7138796869609874,3.1,35001000904
96,35.05866598873743,-106.61571521791086,0.8359279261065302,0.6324840111043758,0.7138615771052376,3.3,35001001201
97,35.040851707373484,-106.71187390393067,0.9175661074434842,0.5780162774944222,0.713836209474047,3.7,35001004735
98,35.067203869203624,-106.57504474036793,0.7768037688016795,0.6718037787363682,0.7138037747624927,3.1,35001000904
99,35.141782448331234,-106.58740548518271,0.7817353386935686,0.6682437532477805,0.7136403874260957,3.1,35001003733
100,35.082716241827455,-106.75160659274599,0.9269151105810395,0.570928323467092,0.713323038312671,3.7,35001004712
